tagId,Name,tagGroupId
308,4WD Operations,28
309,AEMI,28
310,Alpine Search & Survival,28
311,Alpine Support,28
312,Assessor Program,28
313,Aviation,28
314,beacon,28
315,Cadet Program,28
316,Chain Saw Level 1 (Cross Cut),28
317,Chain Saw Level 2 (Intermediate Felling),28
318,Chain Saw Level 3 (Advanced Felling),28
319,Communications,28
320,Community Education,28
321,Community First Responder,28
322,Critical Incident Support,28
323,Delivery training,28
324,Evidence gather,28
325,First Aid,28
326,Flood Boat Crew Member,28
327,Flood Rescue Awareness,28
328,Fundamentals,28
329,General Land Rescue – Road Crash,28
330,Introduction to AIIMS,28
331,Land Search,28
332,Looking After People,28
333,Map & Navigation,28
334,NSW EM,28
335,NSW SES Fundamentals,28
336,OH&S,28
337,Operate Communications Equipment,28
338,Other,28
339,PIARO - Participate in a Rescue Operation,28
340,Road Crash Rescue,28
341,Scenario Setup,28
342,SES Traffic Safety,28
343,Skills Trainer,28
344,Storm & Water Ground,28
345,Storm & Water Height,28
346,Swift Water,28
347,Traffic Safety,28
348,USAR1,28
349,Vertical Rescue,28
350,Air Observer (AMSAR),28
351,Community Engagement Officer,28
352,Critical incident training,28
353,Drive Operational Vehicle,28
354,Fit for Task,28
355,Flood Rescue level 3 - Night Training,28
356,Flood Rescue level 3- Rescue from Vehicles,28
357,Flood Rescue Operator Level 1,28
358,Flood Rescue Operator Level 2,28
359,Flood Rescue Operator Level 3,28
360,General Land Rescue Operator,28
361,ICT (Incident Controller Training)-level one,28
362,ICT (Incident Controller Training)-level three,28
363,ICT (Incident Controller Training)-level two,28
364,IMT,28
365,Induction,28
366,Industrial & Domestic Rescue,28
367,Land Search Operators,28
368,Maintain Team Safety,28
370,Media Officer,28
371,Operate over Snow Vehicle level one,28
372,Remote Wilderness Land Search,28
373,Storm and Water Damage Operations,28
376,Swim task,28
377,Team Leader,28
378,Trainer Assistance,28
379,USAR2,28
380,USAR3,28
381,Working in Operations Centre (WOC),28
382,Skills Maintenance,28
585,Large Animal Rescue Full course,28
586,Large Animal Rescue Awareness,28
594,Field Core Skills,28
595,HCV,28
596,Job Ready,28
384,Community event,29
385,Fete,29
386,FloodSafe,29
388,Other,29
392,SES Role,29
393,StormSafe,29
395,TsunamiSafe,29
396,Administration  - Operations,30
397,Administration- Finance,30
398,Administration - General,30
399,Administration - Training,30
400,Assessment Supervision,30
401,Attend Exercise - Non SES,30
402,Attend Exercise - SES,30
403,Attend Other,30
404,Attend Other Unit not OOAA,30
405,Attend other Unit OOAA,30
406,Attend Other Emergency Service,30
407,Attend RHQ,30
408,Attend SHQ,30
409,Attend Workshop,30
410,Driver Reviver,30
411,LEMC/Interagency meetings,30
412,Maintenance - Building/Land,30
413,Maintenance - Equipment,30
414,Other,30
415,Recruitment,30
416,Unit Meeting/Muster,30
573,CISP Team Training,41
574,CISP Administration,41
575,CISP Education/My5,41
576,CISP Personal Issues,41
577,CISP Unit Issues,41
578,CISP Support,41
579,CISP HR matters,41
580,CISP Chaplaincy,41
581,CISP Others,41
584,CISP On Call Duty Officer,41
383,Bike race,47
387,Media,47
389,Parade,47
390,Public Relations,47
391,Road Crash Rescue Demonstrations,47
394,Traffic Control / Safety,47
587,Community Event,47
588,TsunamiSafe,47
589,FloodSafe,47
590,StormSafe,47
591,SES Role,47
592,Fete,47
593,Other,47
